Sentimento,Text
A FAVOR,O Brasil será desmoralizado internacionalmente e toda a população sentirá o efeito negativo se o país não respeitar a decisão da ONU. #ONUGARANTELULA  #LulaLivre  #MoroNaCadeia
A FAVOR,Blog do Liberato - #Lulalivre!: Boaventura de Sousa Santos relata visita a Lula https://t.co/RzNzDV6hEx
A FAVOR,"@fabi_gold @diegoinvncomex ""A gente tem que DOMINAR as redes, mostrar pra todo mundo que Lula é candidato! #Lulalivre.""

Então faltou um NÃO é candidato somado ao hashtag errado...

Difícil entender outra mensagem que não a que vc passou...

Coisas da Eleven..."
A FAVOR,"@mindincrisis @Olavinha88 @craudin_ @_lady_crow @PomboCoco @RollerGear_Car @cornholio_m iiih, chegaram os bots que clicam #lulalivre.. bom, deixa eu me arrumar pra ir pra facul, alguém tem que prestar nessa vida...  flw criançada! 😉👉👉👉"
A FAVOR,"Marcia Tiburi é 13! / @marciatiburi /  / Nos anos 90, o Brasil assinou a resolução que obriga o país a seguir o que for determinado pelo Comitê da ONU. https://t.co/RzIbaw94sB  /  / #ONUGaranteLula #LulaLivre #LulaP.. https://t.co/IEOg5OrZ0n"
A FAVOR,"Blog do Liberato - #Lulalivre!: BRASIL, URGENTE: Agora querem censurar Lula… NA CA... https://t.co/SvszzrZNAC"
A FAVOR,"Estamos em 2018. Quem, hoje em dia, realmente se preocupa com... “ameaça comunista”? Gente, isso quase equivale a temer invasão de Napoleão, é coisa de hospício! Ou, claro, de candidato q explora a ignorância das pessoas em busca de voto. (Risek, André)
#ONUGaranteLula
#LulaLivre"
A FAVOR,Essa quadrilha da toga está destruindo nosso país. Temos que nos mobilizar cada vez mais contra a organização criminosa do judiciário. #ONUGARANTELULA  #LulaLivre  #MoroNaCadeia
A FAVOR,"Não podemos permitir a consolidação do Estado de exceção. Preso político, Lula deve ser libertado e concorrer a presidência. #LulaLivre representa a esperança do povo brasileiro de retomar em suas mãos o destino do país.  #ONUGaranteLula https://t.co/JQ0CXia95T"
A FAVOR,"@ed_noberto @adirckbr @tallkariana Teoria ou não, está lá na Constituição! Cabe ao povo, de quem emana todo poder, fazer valer aquilo que aprovou por meio de uma Constituinte! Aos gajos do STF não cabe reformular o escrito e muito menos legislar porquanto sua função é de apenas julgar conforme a mesma! #LulaLivre!"
A FAVOR,"Lula precisa se soltar mais nos debates , estou achando ele um pouco preso ....
#LulaLivre"
A FAVOR,"_ O Brasil eh signatário da ONU e não cumprir a determinação é violar o Pacto de Direitos Civis e Políticos.

_ Portanto não se trata de uma recomendação e sim uma determinação.

- Lula é preso político e deve ter seus direitos políticos resguardados

#ONUgaranteLula 
#LulaLivre"
