Date,Text
2018-04-24 02:40:00,O #Triplex atribuído a #Lula tem um #Elevador privativo que liga os andares do apartamento https://t.co/gtlM4Zj7d2 #Guarujá https://t.co/4F3nkQIEla
2018-04-24 02:30:10,"#Ladrão #preso, #Lula dá #falsa #sensação de #liberdade ao #covil do PT https://t.co/tyHDjaGcZe #politica"
2018-04-24 02:28:11,"#FHC apostou em #Lula esperando que este seria um desastre e ele,FHC, voltaria nos braços do povo. Deu tudo errado e foi jogado no ostracismo, onde ficou por anos, escondido por um PSDB envergonhado,que nunca defendeu o legado das suas administrações. Um beócio sem classificação"
2018-04-24 02:25:49,#Lula pediu que o ministro do Supremo Edson Fachin recuse o #Pedido da Procuradoria-Geral da República para que um processo contra o ex-presidente não seja enviado ao juiz Sérgio #Moro https://t.co/ppJaFDhGhi #PGR #Stf https://t.co/wo2ls7GTHI
2018-04-24 02:25:06,"#FHC, na minha visão, é o responsável direto por tudo isto que aconteceu no país, apos ter deixado o governo. Quando sugeriu que esquecessem tudo que escreveu e disse, já mostrava a verdadeira personalidade ou a falta dela. Foi o principal cabo eleitoral de #Lula em 2002."
2018-04-24 02:22:14,@jandira_feghali Mas o que o #DiaMundialDoLivro tem a ver com o #Lula ?
2018-04-24 02:20:44,#Lula fora da cadeia em breve! https://t.co/MduEiYnchv
2018-04-24 01:55:09,O @STF_oficial está brincando com fogo ao forçar um argumento falacioso para soltar o traidor-mor da Pátria. Tomara que respeitem a combalida justiça deste sofrido país. #Bolsonaro2018 #Lula
2018-04-24 01:54:36,"Visitas a #Lula ? Vão trabalhar #ladroes filhos da puta , vermes cara de pau. Vão tudo tomar no cu ! #Caralho , essa #corja de bandidos faz e desfaz , não tem ninguém que os impeçam ? @dilmabr vai trabalhar #anta , você também @gleisi #amante #safada @LulapeloBrasil @STF_oficial"
2018-04-24 01:47:11,"@deltanmd @JornalOGlobo Senhor, nós os brasileiros queremos saber como condenaram o #Lula por um triplex #atribuído à ele se agora vemos que as #provas não correspondem aos fatos narrados no processo. Deixa de ficar reproduzindo notícias e venha aqui postar sua defesa, pois vocês tem muito a explicar."
2018-04-24 01:35:21,"#Dilma, #Gleisi #Hoffiman e #Lindbergh é impedidos de fazer visita ao #ex #presidente #Lula
 https://t.co/wZfWbVuOJ4 via @YouTube"
2018-04-24 01:33:05,"⚠#ELEIÇÃO2018🗳⚠
👉https://t.co/FLnwIn7L4f
👉#SÓ! O QUE INTERESSA A Famíglia #MARINHO's @redeglobo &amp; #TV's DO #BRASIL🇧🇷█
#Televisão #Política #Corrupção #Lula #Dilma #PT #Alckmin #PSDB #Temer #PMDB #Eleição
,,#QUÊ? #DEMOCRACIA QUEREM PRO #BRASIL🇧🇷█ 
#NinguémViuTÁ?!
🙈█"
2018-04-24 01:32:31,"#PT reafirma candidatura de #Lula à presidência da República
https://t.co/OMPst7UFYM"
2018-04-24 01:32:22,"#PT reafirma candidatura de #Lula à presidência da República
https://t.co/jXmjeKpZWJ"
2018-04-24 01:18:00,"Na Fotoarena, cobertura da visita da ex-presidente #Dilma #Rousseff ao acampamento em apoio a ex-presitende #Lula, em frente à sede da Polícia Federal, em Curitiba. https://t.co/fXdm3WBZ7f https://t.co/ndWJegtxgU"
2018-04-24 01:14:20,O diretório do #PT formalizou a candidatura de #Lula à Presidência da República https://t.co/59Hd6VmLKU #PresidênciaDaRepública https://t.co/uitOd4UF23
2018-04-24 01:11:02,@cinepop Ele só quer saber do #Lula agora
2018-04-24 01:10:57,"Vamos todos solicitar visitas ao #Lula, vamos!  É só copiar o Martinho da Vila, enviando e-mail! #LulaLivre #DiaMundialdoLivro #LulaPresoPolitico https://t.co/hsDzNLIeBX"
2018-04-24 01:07:49,Globo tentou entenda esconder #Lula liderando com mais do dobro de votos do segundo colocado! #LulaLivre https://t.co/Rb5XJL0Kdv
2018-04-24 01:04:23,Diretório do #PT formaliza candidatura de #Lula para presidente: Imagem: Reprodução / Redes… https://t.co/JaTiZVWDzL
2018-04-24 01:00:13,"O senador @lindberghfarias fala da decisão da justiça em impedir a visita da @dilmarousseff13 ao amigo #Lula, comenta sobre a justiça barrar tb a visita de deputados. E o esperado “boa noite presidente Lula” dessa vez teve o sotaque sergipano com @RogerioPT13 @MarcioMacedoPT https://t.co/zlDfQNeMzL"
2018-04-24 00:54:03,"@augusto0269 @cenossaum @requiaopmdb Nossa, é o mesmo discurso, com as mesmas palavras... Parece papagaio. Quer saber? Meu pai foi militante do #PT nos anos 80 e 90, votamos no #Lula em 2002 e fomos comemorar a vitória dele na Paulista. Só que pensamos. Isso nos diferencia."
2018-04-24 00:50:25,"Você Errou Luis... https://t.co/GTiR7zdXJZ via @YouTube

#Lula"
2018-04-24 00:47:26,"Podem até soltar o #Lula. O que eu não acredito. Mas, ele já está morto politicamente. Isto é o que importa."
2018-04-24 00:44:34,"Sabe o que aconteceu, @CheZeGuevara? A estratégia de vocês foi tão boa que mandou o seu Guru #Lula pra prisão perpétua. Triste, hein? Vocês são muito burros."
2018-04-24 00:43:07,"""Não faz bem para o País #Lula preso"", disse Marcos Valério, operador do #Mensalão https://t.co/PIoIWKCY6a #Entrevista #MarcosValério #Prisão https://t.co/FHxwn4tFPO"
2018-04-24 00:42:54,"Se o #Lula, ou a #Dilma, ou até mesmo, o #Temer, fizeram algo pelo #Brasil, aprendam uma coisa: eles fizeram mais que a obrigação de quem foi #eleito pelo #povo, e ainda fizeram pouco, perto do que esse #país precisa!"
2018-04-24 00:37:39,"Em #Carta, o ex-presidente #Lula disse para o #PT ""ficar à vontade"" ao decidir sobre a #Candidatura à Presidência da República https://t.co/o6AdRqaGeV #GleisiHoffmann #Leitura #PresidênciaDaRepública https://t.co/a7Q5mgDWQw"
2018-04-24 00:30:03,"De acordo com o PT, que considera a condenação e prisão do ex-presidente injustas, ""a liberdade de Lula tornou-se questão central para a retomada do processo democrático no Brasil"".

#lula #pt #eleições #dgabc https://t.co/dWw8Am815V"
2018-04-24 00:21:30,"Deve ser o mesmo que #Lula fez, veja aonde ele está agora. https://t.co/jH8q5HAQ6W"
2018-04-24 00:14:10,"Seu @BlogdoJuca em 17, torcia para o Vitória ficar na série A para termos mais representatividade dos Nordeste, claramente sendo preconceituoso contra o Sul do país. Mas não, isso é só opinião. Quando um sulista manda prender o #lula, aí e preconceito. https://t.co/y54SlWWHLa"
2018-04-24 00:12:05,"O juiz mais tosco, pífio e Zé Ruela de todo Judiciário só perde pro Moro Vergonha Alheia e pra Moura Carcereira #LulaValeALuta #Lula #LulaLivreJá #LulaLala https://t.co/xUjI0PlfYP"
2018-04-24 00:09:01,Juíza não permite que Dilma e amigos visitem Lula na prisão https://t.co/QSfV4da9bf #BlogdaKatyta #Dilma #juíza #Lula #prisão #visita via @KatytaSV
2018-04-24 00:07:53,Justicia de Brasil niega visita de Dilma a #Lula da Silva ►https://t.co/DwWVkVXZrq
2018-04-24 00:03:42,Isso ja ta virando vergonha alheia... #LulaPreso #Lula https://t.co/pHcohH2Vdz
2018-04-23 23:52:39,@CorteIDH @guardian @gleisi @OEA_oficial @ONU_derechos @CIDH @NewYorkTimes11 @brasil247 @theintercept @lemondefr @wadih_damous @J_LIVRES @DeputadoFederal @FoxNews @CNJ_oficial @MPF_CNMP @DCM_online @Pontifex_es @elpais_brasil O CIDH precisa intervir URGENTE. Moro precisa ser notificado sobre possíveis atos extremos que poderão ser praticado contra #Lula. Ele já é suspeito e precisa ser afastado imediatamente e #Lula solto. Estão sendo DESUMANO COM LULA ! Já avisei inúmeras vezes à ONU OEA E CIDH
2018-04-23 23:45:30,todo mundo querendo visitar o #lula na cadeia... sr #moro arrumar uma vaguinha para todos eles... sei que nao sera dificil 😉👍 #lula
2018-04-23 23:40:42,"@OduwaldoCalixto @partidonovo30 E lembrando que o Fôro de origem do processo contra #Lula , É da cidade de Guarujá-SP, onde o processo ocorrido absolveu todos implicados no Triplex, menos o #Lula que o juiz Moro desmembro, usurpou o Fôro para Curitiba-PR e montaram a Farsa para condenar 1 inocente: https://t.co/7LaYkpfybq"
2018-04-23 23:36:34,"#SegundaDetremuraSDV 
Estou em processo de resiliência...
Bem #Lula"
2018-04-23 23:25:51,Juíza não permite que Dilma e amigos visitem Lula na prisão https://t.co/FGbp5d8xJH #BlogdaKatyta #Dilma #juíza #Lula #prisão #visita via @KatytaSV
2018-04-23 23:17:44,Já descidi ou #Lula ou #Anula
2018-04-23 23:03:23,Entrevista de cliente para a @gazetadopovo sobre a atualização das redes sociais do ex-presidente Lula #DireitoEleitoral #Lula #RedesSociais #AssessoriadeComunicação #Cliente https://t.co/LiRx8sKrUW
2018-04-23 23:02:48,@ArrudaLiege @Elane_FSG @pahega @EricBattistelli @ElaineG16 @Mavsampaio @JotaKar @hamenteslivres @Lelecoutz @MariaTerezaNav1 @mmarescast @Odracyra @Gabriel6828 Achei isso o cúmulo do absurdo uma ditadura diretamente direcionada a #LULA  o povo precisa sair da casinha e acorda pra vida! #LulaLivre https://t.co/QeBg1brtuD
2018-04-23 23:01:34,#Lula será solto pela segunda turma da #CorteBolivariana da #Impunidade. https://t.co/oR8RhyPYY5
2018-04-23 22:47:12,"Após ter visita a #Lula barrada, #Dilma disse que até na ditadura era possível receber amigos https://t.co/cBBIATWtgb #Prisão https://t.co/x3gNynawgF"
2018-04-23 22:32:50,"#Lula, o #corrupto, #pede #para #Fachin #negar #pedido da PGR e #não #enviar #processo a… https://t.co/dJ08jPqsa2"
2018-04-23 22:18:22,Lula diz que PT pode ficar à vontade para decidir sobre candidatura - #Lula https://t.co/JZS0ZZvSVG
2018-04-23 22:18:22,Recurso de Lula será julgado em sessão virtual do STF - #Lula https://t.co/ILylc6LHfi
2018-04-23 22:17:42,#CNJ inicia julgamento em que #Moro é acusado de violar Constituição com áudio de #Lula e #Dilma https://t.co/zmxpovyEIv
2018-04-23 22:17:26,"Resolução do  Diretório Nacional reafirma candidatura de Lula!
#LulaLivre #Lula Presidente"
2018-04-23 22:13:35,@JornalOGlobo Hahahahaa quem tem 🍩 tem medo neh #Lula
2018-04-23 22:12:27,"O "" óbvio uLULAnte é 
#LULA LIVRE#.
Paz Presidente !"
2018-04-23 22:10:45,"É muita emoção, amigos! Todos os companheiros reunidos num único pensamento: passar a energia positiva desse acampamento inteiro, da nossa gente que quer #Lulalivre, num “boa noite, presidente”! Eu sou #Lula! Nós somos Lula! https://t.co/g7f0VB2ExM"
2018-04-23 22:09:28,Fachin manda recurso de #Lula contra prisão para 2ª Turma do #STF: Imagem: ReproduçãoO… https://t.co/4NxLN0pqQR
2018-04-23 22:06:12,"Será que agora o pessoal começará a entender porque entidades como a FIESP patrocinaram o golpe e os fizeram de pato? Que estão querendo que o povo se exploda porque, para eles, o que importa é o lucro?

#LulaValeALuta #LulaLivre #Lula https://t.co/wxCxGB6KZN"
2018-04-23 22:02:22,"@o_antagonista Esse povo tem mesmo uma dificuldade muito grande de compreender o que é um #presopolítico e um #políticopreso - o que #Lula fez é abominável; mas, o que esses #Lulanáticos fazem é inadmissível!"
2018-04-23 22:01:26,"A visita da Comissão Externa da Câmara a @LulapeloBrasil foi suspensa. Querem isolar Lula, mas não vão conseguir. Somos milhões ecoando sua voz. Como falou o camarada Francisco Hélder qdo me parou p/ conversar em São Paulo: ""#Lula, estamos contigo para o q der e vier!"" #LulaLivre https://t.co/cSwhLE9vvT"
2018-04-23 21:42:25,"O negar as visitas a #Lula é uma atitude desumana que só tem comparação com as acções do tempo de Hitler  
#Lula #LulaLivre #LulaInocente #LulaPresoPolítico #Brasil #LulaNobelDaPaz #LulaValeALuta #OcupaCuritiba16odia #lulapelobrasil #LulaPelaPaz"
2018-04-23 21:35:03,PT #reafirma #candidatura de #Lula #para #presidente da #República https://t.co/soeLKGVc3q #politica
2018-04-23 21:26:23,@ingridspbr @MarceloQui #Lula e #Aécio são ladrões!
2018-04-23 21:25:11,"Retweeted Vannessa AL (@pagvannessa):

O PT e sua guerra de narrativa. Querem forçar a impressão de que Lula é além do que ele realmente é: Um preso COMUM, numa cela COMUM pagando por seus crimes. #Lula #LavaJato"
2018-04-23 21:22:52,"#Lula foi preso para não governar para o povo.
#PastorHenriqueVieira #Esperançar
#SegundaDetremuraSDV
#MafiaSdvUsoMemesPq
#SDVComMafia
#CLUBEFOLLOWBACK
#GanaMasSeguidores
#GhanaFollowTrain https://t.co/aBGHf562Z3"
2018-04-23 21:22:43,"Isso no Estado mais rico do Brasil! Em Curitiba a ""eficiência"" foi tanta que até passaram o processo de #Lula na frente! https://t.co/YGBOwRiYFQ"
2018-04-23 21:20:54,@UOLNoticias Esses #petistas são uns ingratos !Menos de 1 mês e #Lula já até aprendeu a escrever!!!HAHAHA...Só rindo da cara de pau dessa #Gleisi lendo a carta q ela mesmo escteveu como se fosse do apenado.E tem militonto que acredita! https://t.co/PGUKW9tnGB
2018-04-23 21:13:52,"#PSDB #MBL
Paulo Henrique de Araújo, foi preso no último sábado sob a suspeita de abusar sexualmente de uma garota de oito anos.
#Lula #Lulalivre #Brasil #Lulainocente 
 https://t.co/4NA2iIp63O via @exame"
2018-04-23 21:09:08,"Alô, Vila Izabel!!! Martinho da Vila pede à Justiça do Paraná para visitar #Lula: ""Trata-se de uma visita de amizade, sem conotações políticas"", avisa ele, num email à 12a Vara Federal de Curitiba #LavaJato #direitoshumanos #corrupção #impunidade https://t.co/UEwm8Vutva"
2018-04-23 21:03:40,"Eu moro no sul, sou negro e pobre, essa fala é sobre mim, vivo cercado por fascistas e #Lula é a única esperança.
#PastorHenriqueVieira #Esperançar
#SegundaDetremuraSDV
#MafiaSdvUsoMemesPq
#SDVComMafia
#CLUBEFOLLOWBACK
#GanaMasSeguidores
#GhanaFollowTrain https://t.co/O9sUTzfc3l"
2018-04-23 21:03:02,"Mais de 10.000 cartas, por enquanto: Cartas do povo brasileiro ao presidente #Lula! https://t.co/fvqPxFOMR8 via @lulapelobrasil"
2018-04-23 21:02:34,"O Partido dos Trabalhadores reafirma a candidatura presidencial de #Lula, na reunião do diretório nacional que aconteceu hoje em Curitiba. O sentimento de q Lula deve ser o próximo presidente n é apenas do partido e de nossa militância: é a vontade da maioria do povo brasileiro. https://t.co/OZZ5znj1Mu"
2018-04-23 20:57:36,Vc quer #Lula ? Então toma! @ptbrasil reafirma que @LulapeloBrasil é o candidato do partido na disputa pela Presidência do Brasil nas eleições de 2018. #LulaLivre  https://t.co/UwlIHrc3Je
2018-04-23 20:57:13,"O PT e sua guerra de narrativa. Querem forçar a impressão de que Lula é além do que ele realmente é: Um preso COMUM, numa cela COMUM pagando por seus crimes. #Lula #LavaJato"
2018-04-23 20:54:13,"Prisão de #Lula é um ato covarde e desumano, é uma perseguição contra um líder pacífico e humano, defendido por militantes de direitos humanos no mundo todo.
#SegundaDetremuraSDV
#MafiaSdvUsoMemesPq
#SDVComMafia
#CLUBEFOLLOWBACK
#GanaMasSeguidores
#GhanaFollowTrain https://t.co/UzIQNShcPY"
2018-04-23 20:50:57,"Retweeted CBN (@CBNoficial):

Entre os que tiveram pedidos rejeitados estão Dilma Rousseff, ativista ganhador do Nobel da Paz e comissão externa da Câmara. #Lula #NoArNaCBN
https://t.co/uYRqJux48C"
