Date,Sentimento,Text
2018-04-24 02:37:11,A FAVOR,PSDB afundaria o Brasil na crise vídeo histórico #esquerdistasseguemesquerdistas  #LulaPresoPolitico #LulaLivre #GloboLixo https://t.co/xy2r24hywB
2018-04-24 02:37:02,A FAVOR,"Marco Aurelio diz que Carmen Lúcia “dá as cartas” do baralho viciado do STF Carminha é o retrato da decadência e da imoralidade do poder judiciário, karadumkudotro. #LulaLivre https://t.co/A8TBsY0PFF via @tijolaco"
2018-04-24 02:36:50,A FAVOR,"Enquanto visitas são vetadas a Lula, Marcelo Odebrecht recebe numa boa seus ex-diretores em casa 
Juíza vetou 23pessoas de visitarem Lula
#LulaPresoPolitico
#LulaLivre
https://t.co/jEt7SdSB3u via @iG"
2018-04-24 02:35:06,A FAVOR,"@DCM_online E Gilmar lutando pelo impeachment indo com Aécio para Portugal uma semana antes impeachment?
E GM feliz ao conseguir reabrir contas chaoa Dilma TSE?
Os motivos de GM não são os da esquerda embora os favoreça!
#LulaLivre 
#LulaPresoPolitico"
2018-04-24 02:33:26,A FAVOR,"Ex-ministro Bresser Pereira, um dos fundadores do PSDB, diz que Lula é vítima da violência judicial: ""Condenar e prender um líder político da dimensão de Lula com base em um processo ridículo é realmente algo inaceitável"" #LulaLivre https://t.co/sUDpwGV43y"
2018-04-24 02:32:40,A FAVOR,"@EddyeLulista Tenho nojo e ojeriza das pessoas que defendem a volta da Ditadura. Ditadura destrói vidas, sonhos e famílias.Ditadura não pode voltar em 
hipótise alguma.
#OcupaCuritiba16oDia
#EuSouLula
#LulaLivre"
2018-04-24 02:32:38,A FAVOR,"Canalha é pouco!!!
#LulaLivre https://t.co/rkXCG0CBqN"
2018-04-24 02:32:30,A FAVOR,"A democracia brasileira está na UTI, só um milagre pode salvar esta jovem. Dia 1° Curitiba deve ficar pequena, pois só com o povo na rua o quadro pode ser revertido, a voz do povo pode exterminar o autoritarismo implantado pelo golpe. #LulaPresoPolitico #LulaLivre"
2018-04-24 02:30:00,A FAVOR,"Agradeço, de coração, a todos e todas pelas mensagens de carinho que me enviaram, por aqui ou por outras mídias. Vcs fizeram minha segundona ficar mais leve. Um beijo camaradas... Muito obrigada! #LulaLivre — se sentindo abençoada"
2018-04-24 02:29:15,A FAVOR,"@esuplicy eu te amo, você é o melhor ser humano.
#LulaLivre https://t.co/yNkq9o7OP5"
2018-04-24 02:28:42,A FAVOR,isso é pq o lula foi preso #lulalivre
2018-04-24 02:28:42,A FAVOR,"A força da militância não deixará Lula isolado. Boa noite, presidente Lula!  #LulaLivre https://t.co/NFyjdODZTk"
2018-04-24 02:28:19,A FAVOR,"@eduardonino Fagner eu boicoto tudo!!! Não quero saber desse traidor da Pátria. 
#LulaLivre 
#LulaPresoPolitico"
2018-04-24 02:28:01,A FAVOR,"Vamos fazer um bolão sobre o julgamento do juizeco no @CNJ_oficial ?
Pra mim, sai no máximo uma advertência, e aí abre a porteira pra que qquer Zé Ruela de primeira instância espione o chefe do executivo!
E pra vocês???
#LulaLivre"
2018-04-24 02:27:44,A FAVOR,@jpkupfer123 Cansadaça de lutar pelos que nada fazem para merecer Direitos e Vida Mais Justa!! Melhor mesmo é só focar nos injustiçados que ainda batalham corajosamente!!! #OcupaCuritibaComTudo #LulaLivre
2018-04-24 02:27:39,A FAVOR,"Ironia, Deboche, Autoafirmação... O que vocês acham a respeito dessa minissérie da @RedeGlobo que se chama ""Onde Nascem Os Fortes"" que se passa no Nordeste e logo depois de @LulapeloBrasil estar preso? #LulaLivre"
2018-04-24 02:27:12,A FAVOR,"@DCM_online Milícia ??? Entramos no furacão; daqui algumas décadas o olho e  somente depois Luz... 
Se houvesse clamor popular agora seria solução breve e sem grandes perdas. Imobilidade popular deixa outros países em dúvida sobre fibra do brasileiro...
#LulaLivre 
#LulaPresoPolitico"
2018-04-24 02:26:43,A FAVOR,"A coisa só piora.Agora descobrimos que a dona da empresa da empresa fake (Tallento), do elevador fake, é Maria Clara Baumgart Gonçalves,filiada ao PSDB desde 1991! #LulaLivre"
2018-04-24 02:26:09,A FAVOR,"Bem unidos façamos,
 essa luta final
Uma terra sem amos,
 a Internacional.

#Lulalivre https://t.co/tJrqT3ChQp"
2018-04-24 02:24:14,A FAVOR,"@portalR7 Sem apoio ??
Nunca Jamais !
É só o sonho da imprensa
#LulaLivre"
2018-04-24 02:24:03,A FAVOR,"a promessa sai do papel.
governo do PT
o povo quer Lula livre
#LulaLivre https://t.co/lhhJ4cqoxB"
2018-04-24 02:23:39,A FAVOR,"@mulk_neutro É só escrever ""mimimi, machismo, racista, #lulalivre"" que tu tira um 10"
2018-04-24 02:23:25,A FAVOR,"@GsilvaCleo O de São Paulo eu não falo, não. Os outros são Vasco, Inter, América-mg, Penarol, Barça, Independiente, Liverpool, Napoli, Treze (#LulaLivre ), Rio Negro, Sampaio, Ferroviário, Náutico, Sergipe, CRB e Sociedade Esportiva Vila Braga (lá de Aguaí), Cerro Portenho e todos Americas"
2018-04-24 02:20:44,A FAVOR,"A lava-farsa é uma operação comandada por tucanos fascistas. 
#LulaLivre https://t.co/Ojj5Yo9M7w"
2018-04-24 02:20:06,A FAVOR,"@DCM_online @Yarus13 Martilho... lindo, humano, maravilhoso cantor e compositor!!!

Viva!!!

#LulaLivre 
#LulaPresoPolitico"
2018-04-24 02:19:49,A FAVOR,"Moro afirma que dívidas do triplex não impedem venda e chama ocupação do MTST de “lamentável” É inegavelmente um sociopata! Mesmo desmoralizado sobre a ""reforma inexistente do muquiflex"", o doente continua mantendo a farsa. Grande FDP! #LulaLivre https://t.co/clXKXEqEsx"
2018-04-24 02:17:59,A FAVOR,"@portalR7 PAREM D FALAR BESTEIRAS.NENHUM POLÍTICO. NO BRASIL É. AMADO E TEM MSIS APOIO Q LULA,#LULALIVRE #FORATEMER #FORAGLOBO #LULALIVRE #LULALIVRE #LULALIVRE"
2018-04-24 02:17:21,A FAVOR,Um SQUAD desses! Que foto! ❤ #LulaLivre https://t.co/XQFlp9vF9L
2018-04-24 02:16:12,A FAVOR,"#LulaLivre #EuSouLula
Diretório Nacional do PT reafirma que o plano é Lula presidente e vai referendar oficialmente a candidatura em julho

A presidenta eleita legitimamente pelo povo Dilma Rousseff esteve na... https://t.co/bvCg3kwAcc"
2018-04-24 02:15:46,A FAVOR,@JujuMathiasMar4 @DCM_online DEMORO JÁ DEVIAM TER JULGADO ELE A MAIS TEMPO SE A LEI É PARA TODOS NESTES CASOS TEM QUE SER MAIS DURA PARA QUEM A CONHECE #LULALIVRE
2018-04-24 02:14:12,A FAVOR,"@DCM_online Esses Juízes não têm moral e não encontram freios, né @CNJ_oficial ???
Que Brasil é esse entregue a esses vampiros?

#LulaLivre 
#LulaPresoPolitico"
2018-04-24 02:12:05,A FAVOR,@JujuMathiasMar4 @mariadorosario CORDO TINHA QUE TER PRISÃO PERPETUA PARA ESTES CRIMES #LULALIVRE
2018-04-24 02:09:29,A FAVOR,"Em minha opinião, pela via da justiça, Lula não sai. Acredito na força bruta do povo contra o Estado, como última alternativa.
#LulaLivre https://t.co/O6sRLWSHoE"
2018-04-24 02:05:42,A FAVOR,@margotbisewski @AnnaS_Gdottir @alanpoeta80 @Iasodhara_ @olugareaquimesm @neusinhaschub @EmersonNoronha @pahega @Aninka_Haskel @carlosorium @passarosErosas @pelegrini65 @SSDeAraujo @VianaEliezer @Drico70706824 @TravessoDaJube @salatiel_argonn @jorgegonzaga02 @KummerAloisio @missmoggia @WozniackiCarol @fpwaltrick @Na_pcardoso @AngelJones_1330 @leopenaroz @BilePeliciari @MarcosEducacao @adaogalo @Neusa1313 @Elainegcuiaba @knsantos @Rafa_JC_Pinto @lucianodelimalo @mirtslacerda @p1nhe1ro13 @Depinheiro19781 @kabokiko @TerezaCC @l_urbano @tiesouza @ElzaBatistaFon3 @terezopolitano @EricAmorim15 @eualine84 @gillmarcostta @RafaelaADS02 @damngerhl @RondiSousa @MAURONAMORIM @Marlia61157376 #LulaLivre pra ontem
2018-04-24 02:04:56,A FAVOR,"@lindberghfarias Cara, parem de ir incomodar o molusco. Vocês querem articular confusão e mais histeria. Deixa o cara cumprir a pena dele tranquilo. Deixa ele ser suportado pela família dele, respeitem a intimidade do cara. A juíza agiu corretamente. #LulaLivre só daqui 12 anos, meu amigo."
2018-04-24 02:03:53,A FAVOR,"@Estadao @fausto_macedo #LulaLivre quer presidir o Brasil, tirar o país do buraco que vcs ajudaram a jogar e ainda ajuda. Manchete malandra, típica do quadrilhão da mídia golpista. #QuadrilhaoDaMidia"
2018-04-24 02:03:31,A FAVOR,"Só se nega visitas a um preso político, certo?

- Certo! 
#LulaEPresoPolitico
#LulaLivre"
2018-04-24 02:03:01,A FAVOR,"@FaimaLima A  farsa da decoração foi desmascarada e isso é  só pq os coxinhas estavam ficando desmotivado por estarem sem argumento, o pedido pro site deve ter sido de um desesperado por ñ poder mais falar do luxo do triplex. Vamos continuar denunciando a farsa. #LulaLivre"
2018-04-24 02:02:59,A FAVOR,"Martinho da Vila pede para visitar Lula em Curitiba 
#MartinhoDaVila #LulaLivre
https://t.co/Td4SqQU31F"
2018-04-24 02:02:58,A FAVOR,"Retweeted Jaques Wagner (@jaqueswagner):

E é por essa série de ""atos discricionários"", como ele chama, que @gilbertogil também está na luta por #LulaLivre. @LulapeloBrasil https://t.co/xgSImnfK4w"
2018-04-24 02:02:04,A FAVOR,"@folha Ótimo resultado do nosso querido Vampirão... (nosso querido Vampirão, pq NOSSO querido presidente ele não vai ser considerado nunca)... Com a reforma q ele propõe o caminho vai ser esse msm.. e msm assim olha lá pra conseguir aposentar antes de morrer. #LulaLivre"
2018-04-24 02:01:49,A FAVOR,"#LulaLivre #EuSouLula 
Diretório Nacional do PT reafirma que o plano é Lula presidente e vai referendar oficialmente a candidatura em julho
https://t.co/xsJz9lU1rn https://t.co/idxG9NsdT9"
2018-04-24 02:01:08,A FAVOR,"#LulaLivre #EuSouLula 
Diretório Nacional do PT reafirma que o plano é Lula presidente e vai referendar oficialmente a candidatura em julho
https://t.co/xsJz9lU1rn https://t.co/2kJPSbBDUD"
2018-04-24 02:00:40,A FAVOR,"Pra cima
#EsquerdistasSeguemEsquerdistas 
#LulaLivre
@JaboticabaTimes @kallilolv @ZederMG @ritalosada1 @c_e_s_a_r_e @Frmarchetaria @b_candeias @pucca11112005 @alexandreas1908 @Castro2Monica @Esquerdinha79 @EstancaAsangria @Adote1Amigo @DilmaResiste @irenegbb"
2018-04-24 02:00:16,A FAVOR,"Retweeted Mídia NINJA (@MidiaNINJA):

Matinho da Vila também quer fazer uma visita a Lula! #LulaLivre https://t.co/Inq8YKYc1d https://t.co/ZpxY3jWUYs"
2018-04-24 01:58:50,A FAVOR,Os Vingadores #LulaLivre https://t.co/i1rR0d1Y0O
2018-04-24 01:58:12,A FAVOR,"Pensando alto aqui...Denunciado por Tacla Duran,Moro se diverte com Zucolotto ou Zucolottos,mãe e filho.Será que seus fãs já pararam pra pensar?! Não precisa ser alto,só baixinho mesmo. #LulaLivre"
