Classificacao,Text
CONTRA,"#LuLa Um homem que lutou pelo Brasil em 2002 quando ninguém acreditava, que não desistiu e voltou em 2006 pra fazer história e ser um dos melhores que eu vi, parabéns Ronaldinho Gaúcho o bruxo, o rei do drible. Melhor Jair se acostumando"
A FAVOR,"O jeito é todo mundo virar empreendedor. Porque nem direito pra ser funcionário nos estamos tendo. Saudades do meu PT &lt;3 #Lula
https://t.co/Ax8NOTDT4b"
A FAVOR,QueRO votar no #Lula pra presidente. #ONUGARANTELULA
A FAVOR,"Líder alemão, ex-presidente do Parlamento Europeu, vem a Curitiba visitar #Lula.
https://t.co/s5QW71cK5v
*
#Lula2018 #LulaLivre"
A FAVOR,"Você está estudando e de repente vê .... o nosso presidente! 
📝📚❤💛💚
#politicaspublicas
#lulaehaddad 
#lulapresidente 
#haddad 
#lula https://t.co/gB1rFJRHvX"
A FAVOR,"#ONUGaranteLula eu quero ter meu direito garantido de poder votar LULA LIVRE.pra presidente. O melhor presidente o Brasil já teve.
#LulaPresidente #Lula Livre! #BRILHA UMA ESTRELA!"
A FAVOR,"Mais uma pesquisa. De novo, #Lula na cabeça.
https://t.co/AOEgk4uKGA
*
#Lula2018"
A FAVOR,"Rede Globo descumpre leis do Brasil e boicota #Lula e #Haddad.
https://t.co/qRyX5fjZU4
*
#ForaGlobo #AnunciouNaGloboNãoCompro"
CONTRA,"Vc tá com dúvidas se a terceirização é boa ou não??? 
É só fazer o seguinte: 
se o PT, 
CUT, 
MST, etc...forem contra, 
é pq é bom. 

#TerceirizaNãoSTF 
#BolsonaroPresidente17 
#Lulaepresidiario 
#lula"
A FAVOR,"Apoiado por #Lula, #Haddad chega a 34% das intenções de voto.
https://t.co/CyQmMdmmP2
*
via @nocautefm"
A FAVOR,Mais uma colaboração do #advogado Jovacy Peter Filho para o #TheNewYorkTimes. O tema foi a situação do ex-presidente #Lula e o cenário eleitoral vivido no Brasil. Leia em https://t.co/3ezl76G5zL e baixe digitalizada em https://t.co/k8srXFZ1Fw. #NYT #Eleições2018 https://t.co/oVfeOHq5RW
A FAVOR,#ONUGaranteLula...............O Mundo garante.............#Lula........... https://t.co/X4UaB6mbGR
A FAVOR,#ONUGaranteLula.....#Lula é Haddad............. https://t.co/qJgfImbEQY
CONTRA,"Se os 54% que votam no #Lula não comprarem mais na Lojas Americanas, vai ser um baque daqueles no caixa. #ficaadica. Compro nada mais lá. #LojasAmericanas"
A FAVOR,"@TSEjusbr O problema do Brasil não são as ""urnas fraudadas"", mas sim a justiça interferindo e manipulando as eleições e o mundo todo vendo isso.   #OVotoImporta #Lula

“Quando a política penetra no recinto dos tribunais, a Justiça se retira por alguma porta”"
A FAVOR,Ministro do TSE nega pedido para excluir o nome do condenado Lula de pesquisas eleitorais https://t.co/BbKFjPEAeC #TSE #Lula #condenacao #prisao #inelegibilidade #LeiDaFichaLimpa #pesquisaseleitorais
A FAVOR,#Lula o Brasil feliz de novo. Vote 17.
