Classificacao,Text
A FAVOR,O #Triplex atribuído a #Lula tem um #Elevador privativo que liga os andares do apartamento https://t.co/gtlM4Zj7d2 #Guarujá https://t.co/4F3nkQIEla
A FAVOR,"#Ladrão #preso, #Lula dá #falsa #sensação de #liberdade ao #covil do PT https://t.co/tyHDjaGcZe #politica"
A FAVOR,"#FHC apostou em #Lula esperando que este seria um desastre e ele,FHC, voltaria nos braços do povo. Deu tudo errado e foi jogado no ostracismo, onde ficou por anos, escondido por um PSDB envergonhado,que nunca defendeu o legado das suas administrações. Um beócio sem classificação"
A FAVOR,#Lula pediu que o ministro do Supremo Edson Fachin recuse o #Pedido da Procuradoria-Geral da República para que um processo contra o ex-presidente não seja enviado ao juiz Sérgio #Moro https://t.co/ppJaFDhGhi #PGR #Stf https://t.co/wo2ls7GTHI
CONTRA,"#FHC, na minha visão, é o responsável direto por tudo isto que aconteceu no país, apos ter deixado o governo. Quando sugeriu que esquecessem tudo que escreveu e disse, já mostrava a verdadeira personalidade ou a falta dela. Foi o principal cabo eleitoral de #Lula em 2002."
CONTRA,@jandira_feghali Mas o que o #DiaMundialDoLivro tem a ver com o #Lula ?
A FAVOR,#Lula fora da cadeia em breve! https://t.co/MduEiYnchv
CONTRA,O @STF_oficial está brincando com fogo ao forçar um argumento falacioso para soltar o traidor-mor da Pátria. Tomara que respeitem a combalida justiça deste sofrido país. #Bolsonaro2018 #Lula
CONTRA,"Visitas a #Lula ? Vão trabalhar #ladroes filhos da puta , vermes cara de pau. Vão tudo tomar no cu ! #Caralho , essa #corja de bandidos faz e desfaz , não tem ninguém que os impeçam ? @dilmabr vai trabalhar #anta , você também @gleisi #amante #safada @LulapeloBrasil @STF_oficial"
CONTRA,"@deltanmd @JornalOGlobo Senhor, nós os brasileiros queremos saber como condenaram o #Lula por um triplex #atribuído à ele se agora vemos que as #provas não correspondem aos fatos narrados no processo. Deixa de ficar reproduzindo notícias e venha aqui postar sua defesa, pois vocês tem muito a explicar."
A FAVOR,"#Dilma, #Gleisi #Hoffiman e #Lindbergh é impedidos de fazer visita ao #ex #presidente #Lula
 https://t.co/wZfWbVuOJ4 via @YouTube"
A FAVOR,"⚠#ELEIÇÃO2018🗳⚠
👉https://t.co/FLnwIn7L4f
👉#SÓ! O QUE INTERESSA A Famíglia #MARINHO's @redeglobo &amp; #TV's DO #BRASIL🇧🇷█
#Televisão #Política #Corrupção #Lula #Dilma #PT #Alckmin #PSDB #Temer #PMDB #Eleição
,,#QUÊ? #DEMOCRACIA QUEREM PRO #BRASIL🇧🇷█ 
#NinguémViuTÁ?!
🙈█"
A FAVOR,"#PT reafirma candidatura de #Lula à presidência da República
https://t.co/OMPst7UFYM"
A FAVOR,"#PT reafirma candidatura de #Lula à presidência da República
https://t.co/jXmjeKpZWJ"
A FAVOR,"Na Fotoarena, cobertura da visita da ex-presidente #Dilma #Rousseff ao acampamento em apoio a ex-presitende #Lula, em frente à sede da Polícia Federal, em Curitiba. https://t.co/fXdm3WBZ7f https://t.co/ndWJegtxgU"
A FAVOR,O diretório do #PT formalizou a candidatura de #Lula à Presidência da República https://t.co/59Hd6VmLKU #PresidênciaDaRepública https://t.co/uitOd4UF23
A FAVOR,@cinepop Ele só quer saber do #Lula agora
A FAVOR,"Vamos todos solicitar visitas ao #Lula, vamos!  É só copiar o Martinho da Vila, enviando e-mail! #LulaLivre #DiaMundialdoLivro #LulaPresoPolitico https://t.co/hsDzNLIeBX"
A FAVOR,Globo tentou entenda esconder #Lula liderando com mais do dobro de votos do segundo colocado! #LulaLivre https://t.co/Rb5XJL0Kdv
A FAVOR,Diretório do #PT formaliza candidatura de #Lula para presidente: Imagem: Reprodução / Redes… https://t.co/JaTiZVWDzL
A FAVOR,"O senador @lindberghfarias fala da decisão da justiça em impedir a visita da @dilmarousseff13 ao amigo #Lula, comenta sobre a justiça barrar tb a visita de deputados. E o esperado “boa noite presidente Lula” dessa vez teve o sotaque sergipano com @RogerioPT13 @MarcioMacedoPT https://t.co/zlDfQNeMzL"
A FAVOR,"@augusto0269 @cenossaum @requiaopmdb Nossa, é o mesmo discurso, com as mesmas palavras... Parece papagaio. Quer saber? Meu pai foi militante do #PT nos anos 80 e 90, votamos no #Lula em 2002 e fomos comemorar a vitória dele na Paulista. Só que pensamos. Isso nos diferencia."
A FAVOR,"Você Errou Luis... https://t.co/GTiR7zdXJZ via @YouTube

#Lula"
CONTRA,"Podem até soltar o #Lula. O que eu não acredito. Mas, ele já está morto politicamente. Isto é o que importa."
CONTRA,"Sabe o que aconteceu, @CheZeGuevara? A estratégia de vocês foi tão boa que mandou o seu Guru #Lula pra prisão perpétua. Triste, hein? Vocês são muito burros."
A FAVOR,"""Não faz bem para o País #Lula preso"", disse Marcos Valério, operador do #Mensalão https://t.co/PIoIWKCY6a #Entrevista #MarcosValério #Prisão https://t.co/FHxwn4tFPO"
CONTRA,"Se o #Lula, ou a #Dilma, ou até mesmo, o #Temer, fizeram algo pelo #Brasil, aprendam uma coisa: eles fizeram mais que a obrigação de quem foi #eleito pelo #povo, e ainda fizeram pouco, perto do que esse #país precisa!"
A FAVOR,"Em #Carta, o ex-presidente #Lula disse para o #PT ""ficar à vontade"" ao decidir sobre a #Candidatura à Presidência da República https://t.co/o6AdRqaGeV #GleisiHoffmann #Leitura #PresidênciaDaRepública https://t.co/a7Q5mgDWQw"
A FAVOR,"De acordo com o PT, que considera a condenação e prisão do ex-presidente injustas, ""a liberdade de Lula tornou-se questão central para a retomada do processo democrático no Brasil"".

#lula #pt #eleições #dgabc https://t.co/dWw8Am815V"
CONTRA,"Deve ser o mesmo que #Lula fez, veja aonde ele está agora. https://t.co/jH8q5HAQ6W"
A FAVOR,"Seu @BlogdoJuca em 17, torcia para o Vitória ficar na série A para termos mais representatividade dos Nordeste, claramente sendo preconceituoso contra o Sul do país. Mas não, isso é só opinião. Quando um sulista manda prender o #lula, aí e preconceito. https://t.co/y54SlWWHLa"
A FAVOR,"O juiz mais tosco, pífio e Zé Ruela de todo Judiciário só perde pro Moro Vergonha Alheia e pra Moura Carcereira #LulaValeALuta #Lula #LulaLivreJá #LulaLala https://t.co/xUjI0PlfYP"
A FAVOR,Juíza não permite que Dilma e amigos visitem Lula na prisão https://t.co/QSfV4da9bf #BlogdaKatyta #Dilma #juíza #Lula #prisão #visita via @KatytaSV
A FAVOR,Justicia de Brasil niega visita de Dilma a #Lula da Silva ►https://t.co/DwWVkVXZrq
CONTRA,Isso ja ta virando vergonha alheia... #LulaPreso #Lula https://t.co/pHcohH2Vdz
A FAVOR,@CorteIDH @guardian @gleisi @OEA_oficial @ONU_derechos @CIDH @NewYorkTimes11 @brasil247 @theintercept @lemondefr @wadih_damous @J_LIVRES @DeputadoFederal @FoxNews @CNJ_oficial @MPF_CNMP @DCM_online @Pontifex_es @elpais_brasil O CIDH precisa intervir URGENTE. Moro precisa ser notificado sobre possíveis atos extremos que poderão ser praticado contra #Lula. Ele já é suspeito e precisa ser afastado imediatamente e #Lula solto. Estão sendo DESUMANO COM LULA ! Já avisei inúmeras vezes à ONU OEA E CIDH
CONTRA,todo mundo querendo visitar o #lula na cadeia... sr #moro arrumar uma vaguinha para todos eles... sei que nao sera dificil 😉👍 #lula
